nct	canonical_payload	registered_enrollment	enrollment_type	n_registered_arms	n_distinct_response_cohorts	n_response_observations	max_single_cohort_denominator	max_single_cohort_pointer	largest_within_measure_om_index	groups_in_that_measure	within_measure_denominator_sum	pooled_label_in_that_measure	conflict_findings	summation_policy	disjointness_status
NCT02150967	ctg_results_bor_2014_2017.txt	143	ACTUAL	1	2	5	108	ctg_results_bor_2014_2017.txt::NCT02150967::outcomeMeasures[0]::groups[OG000]	0	1	108	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02395172	ctg_results_bor_2014_2017.txt	792	ACTUAL	2	2	8	396	ctg_results_bor_2014_2017.txt::NCT02395172::outcomeMeasures[4]::groups[OG000]	4	2	792	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02889900	ctg_results_bor_2014_2017.txt	62	ACTUAL	1	1	3	60	ctg_results_bor_2014_2017.txt::NCT02889900::outcomeMeasures[1]::groups[OG000]	1	1	60	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02372006	ctg_results_bor_2014_2017.txt	56	ACTUAL	1	3	4	39	ctg_results_bor_2014_2017.txt::NCT02372006::outcomeMeasures[0]::groups[OG000]	0	1	39	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02723955	ctg_results_bor_2014_2017.txt	829	ACTUAL	9	37	111	255	ctg_results_bor_2014_2017.txt::NCT02723955::outcomeMeasures[48]::groups[OG001]	48	8	352	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02564744	ctg_results_bor_2014_2017.txt	100	ACTUAL	5	5	5	30	ctg_results_bor_2014_2017.txt::NCT02564744::outcomeMeasures[4]::groups[OG003]	4	5	94	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02249949	ctg_results_bor_2014_2017.txt	15	ACTUAL	1	1	1	11	ctg_results_bor_2014_2017.txt::NCT02249949::outcomeMeasures[0]::groups[OG000]	0	1	11	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02275910	ctg_results_bor_2014_2017.txt	40	ACTUAL	1	12	16	9	ctg_results_bor_2014_2017.txt::NCT02275910::outcomeMeasures[4]::groups[OG010]	4	12	39	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02933255	ctg_results_bor_2014_2017.txt	24	ACTUAL	2	1	1	7	ctg_results_bor_2014_2017.txt::NCT02933255::outcomeMeasures[15]::groups[OG000]	15	1	7	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02640508	ctg_results_bor_2014_2017.txt	29	ACTUAL	1	1	1	23	ctg_results_bor_2014_2017.txt::NCT02640508::outcomeMeasures[0]::groups[OG000]	0	1	23	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
