Source Name	Comment [Sample_characteristics]	Comment [Sample_description]	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Extract Name	Material Type	Labeled Extract Name	Label	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM98498 2	STT742F mRNA	Simple annotation: Primary tumor, Disease response	Image: http://smd.stanford.edu/MicroArray/gifs/2002-01/24228.gif	STT742F mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98498 extract 2	total RNA	GSM98498 LE 2	Cy5	GSM98498	A-GEOD-3254	P-GSE4303-1	P-GSE4303-2	GSM98498_sample_table.txt norm	GSM98498_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98497 2	STT417B mRNA	Simple annotation: Primary tumor, Disease response	Image: http://smd.stanford.edu/MicroArray/gifs/2002-01/24139.gif	STT417B mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98497 extract 2	total RNA	GSM98497 LE 2	Cy5	GSM98497	A-GEOD-3254	P-GSE4303-1	P-GSE4303-2	GSM98497_sample_table.txt norm	GSM98497_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98497 1	CRH mRNA	Simple annotation: Primary tumor, Disease response	Image: http://smd.stanford.edu/MicroArray/gifs/2002-01/24139.gif	CRH mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98497 extract 1	total RNA	GSM98497 LE 1	Cy3	GSM98497	A-GEOD-3254	P-GSE4303-1	P-GSE4303-2	GSM98497_sample_table.txt norm	GSM98497_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98496 1	CRH-mRNA	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2003-06/41603.gif	CRH-mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98496 extract 1	total RNA	GSM98496 LE 1	Cy3	GSM98496	A-GEOD-3290	P-GSE4303-1	P-GSE4303-2	GSM98496_sample_table.txt norm	GSM98496_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98496 2	STT3698-Myxoid Chondrosarcoma	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2003-06/41603.gif	STT3698-Myxoid Chondrosarcoma	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98496 extract 2	total RNA	GSM98496 LE 2	Cy5	GSM98496	A-GEOD-3290	P-GSE4303-1	P-GSE4303-2	GSM98496_sample_table.txt norm	GSM98496_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98495 1	CRH-mRNA	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2003-06/41602.gif	CRH-mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98495 extract 1	total RNA	GSM98495 LE 1	Cy3	GSM98495	A-GEOD-3290	P-GSE4303-1	P-GSE4303-2	GSM98495_sample_table.txt norm	GSM98495_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98495 2	STT3699-Myxoid Chondrosarcoma	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2003-06/41602.gif	STT3699-Myxoid Chondrosarcoma	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98495 extract 2	total RNA	GSM98495 LE 2	Cy5	GSM98495	A-GEOD-3290	P-GSE4303-1	P-GSE4303-2	GSM98495_sample_table.txt norm	GSM98495_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM91405 1	UHR	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2003-08/43654.gif	UHR	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM91405 extract 1	total RNA	GSM91405 LE 1	Cy3	GSM91405	A-GEOD-3290	P-GSE4303-1	P-GSE4303-2	GSM91405_sample_table.txt norm	GSM91405_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM91405 2	STT94b-GIST-Total RNA	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2003-08/43654.gif	STT94b-GIST-Total RNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM91405 extract 2	total RNA	GSM91405 LE 2	Cy5	GSM91405	A-GEOD-3290	P-GSE4303-1	P-GSE4303-2	GSM91405_sample_table.txt norm	GSM91405_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM91397 2	STT794b-GIST-Total RNA	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2003-08/43640.gif	STT794b-GIST-Total RNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM91397 extract 2	total RNA	GSM91397 LE 2	Cy5	GSM91397	A-GEOD-3290	P-GSE4303-1	P-GSE4303-2	GSM91397_sample_table.txt norm	GSM91397_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
