nct	outcome_index	title_or_group	reason
NCT02207556			no results section
NCT00282022			no results section
NCT04873375			no results section
NCT02233712			no results section
NCT03584711			no results section
NCT02227199			no results section
NCT03861793			no results section
NCT00847119			no results section
NCT02351219			no results section
NCT01276236			no results section
NCT00003344			no results section
NCT03352934			no results section
NCT01720264			no results section
NCT05052099			no results section
NCT00721799			no results section
NCT01892371			no results section
NCT00411671			no results section
NCT03836209			no results section
NCT00886132			no results section
NCT00171587			no results section
NCT02004093			no results section
NCT00231465			no results section
NCT00935792			no results section
NCT00452244			no results section
NCT00508144			no results section
NCT02522598			no results section
NCT00956930			no results section
NCT00002800			no results section
NCT00139711			no results section
NCT01507064			no results section
NCT02932332			no results section
NCT00002938			no results section
NCT01251978			no results section
NCT00553878			no results section
NCT02981368			no results section
NCT00087997			no results section
NCT00006043			no results section
NCT00148668			no results section
NCT05013450			no results section
NCT03396874			no results section
NCT02221310			no results section
NCT01053013			no results section
NCT00505713			no results section
NCT05032820			no results section
NCT05557110			no results section
NCT03448718			no results section
NCT01613313			no results section
NCT00003297			no results section
NCT00398710			no results section
NCT00378313			no results section
NCT02449538			no results section
NCT00027638			no results section
NCT02927925			no results section
NCT00005625			no results section
NCT00103389			no results section
NCT00965250			no results section
NCT01229150			no results section
NCT01419691			no results section
NCT02257138			no results section
NCT03682276			no results section
NCT00691678			no results section
NCT00080535			no results section
NCT03664635			no results section
NCT02497508			no results section
NCT00513435			no results section
NCT03357276			no results section
NCT00976976			no results section
NCT00005991			no results section
NCT00045110			no results section
NCT00001191			no results section
NCT02117297			no results section
NCT00389155			no results section
NCT00003443			no results section
NCT03341143			no results section
NCT00721890			no results section
NCT00494585			no results section
NCT01554397			no results section
NCT01692197			no results section
NCT01283035			no results section
NCT03507244			no results section
NCT03772587			no response-titled outcome
NCT00068458			no results section
NCT00185640			no results section
NCT00540176			no results section
NCT00857389			no results section
NCT00006268			no results section
NCT01675128			no results section
NCT01439711			no results section
NCT04172571			no results section
NCT03429244			no results section
NCT01623206			no results section
NCT00261404			no results section
