nct	group_norm	resolved_at_step	candidates_still_competing
NCT02437318	pik3ca non-mutant cohort by tumor tissue: placebo + fulvestrant	f (smallest outcome index)	2
NCT02162719	ipatasertib and paclitaxel	e (largest Participants denominator)	3
NCT02162719	placebo and paclitaxel	e (largest Participants denominator)	3
NCT02422615	ribociclib + fulvestrant	f (smallest outcome index)	2
NCT02422615	placebo + fulvestrant	f (smallest outcome index)	2
NCT02263508	phase 1b: talimogene laherparepvec + pembrolizumab	f (smallest outcome index)	4
NCT02263508	phase 3: placebo + pembrolizumab	f (smallest outcome index)	4
NCT02263508	phase 3: talimogene laherparepvec + pembrolizumab	f (smallest outcome index)	4
NCT02367040	copanlisib + rituximab	f (smallest outcome index)	3
NCT02367040	placebo + rituximab	f (smallest outcome index)	3
NCT02196688	treatment arm	f (smallest outcome index)	2
NCT02196688	control arm	f (smallest outcome index)	2
NCT03062358	pembrolizumab + bsc	e (largest Participants denominator)	2
NCT03062358	placebo + bsc	e (largest Participants denominator)	2
NCT02411448	part b: ramucirumab+ erlotinib	f (smallest outcome index)	2
NCT02411448	part b: placebo+ erlotinib	f (smallest outcome index)	2
NCT03125902	placebo and paclitaxel	e (largest Participants denominator)	2
NCT03125902	atezolizumab and paclitaxel	e (largest Participants denominator)	2
NCT02395016	nimotuzumab- gemcitabine group	f (smallest outcome index)	2
NCT02395016	placebo-gemcitabine group	f (smallest outcome index)	2
NCT02711553	8 mg/kg ramucirumab + 25 mg/m2 cisplatin + 1000 mg/m2 gemcitabine	f (smallest outcome index)	2
NCT02711553	80 mg merestinib + 25 mg/m2 cisplatin + 1000 mg/m2 gemcitabine	f (smallest outcome index)	2
NCT02711553	pooled placebo	f (smallest outcome index)	2
NCT02807636	placebo+gemcitabine+carboplatin/cisplatin	e (largest Participants denominator)	2
NCT02137837	arm 1: fulvestrant + everolimus placebo + anastrozole placebo	e (largest Participants denominator)	2
NCT02137837	arm 2: fulvestrant + everolimus + anastrozole placebo	e (largest Participants denominator)	2
NCT02137837	arm 3: fulvestrant + everolimus + anastrozole	e (largest Participants denominator)	2
NCT02788981	nab-paclitaxel+mifepristone	e (largest Participants denominator)	2
NCT02788981	nab-paclitaxel+placebo	e (largest Participants denominator)	2
NCT02978222	frα peptide plus adjuvant (gm-csf)	f (smallest outcome index)	2
NCT02978222	adjuvant (gm-csf) alone	f (smallest outcome index)	2
NCT01980888	idelalisib+bendamustine+rituximab	f (smallest outcome index)	2
NCT01980888	placebo+bendamustine+rituximab	f (smallest outcome index)	2
NCT02494583	pembrolizumab monotherapy (pembro mono)	e (largest Participants denominator)	2
NCT02494583	pembrolizumab + soc chemotherapy (pembro combo)	e (largest Participants denominator)	2
NCT02494583	placebo + soc chemotherapy (soc)	f (smallest outcome index)	2
NCT01923168	alpelisib + letrozole	e (largest Participants denominator)	2
NCT01923168	placebo + letrozole	e (largest Participants denominator)	2
NCT02128958	cf102	f (smallest outcome index)	2
NCT02128958	placebo tablets of cf102	f (smallest outcome index)	2
NCT02018861	parsaclisib 5 mg qd	e (largest Participants denominator)	3
NCT02018861	parsaclisib 10 mg qd	e (largest Participants denominator)	3
NCT02018861	parsaclisib 15 mg qd	e (largest Participants denominator)	3
NCT02018861	parsaclisib 20 mg qd	e (largest Participants denominator)	3
NCT02018861	parsaclisib 30 mg qd	e (largest Participants denominator)	3
NCT02018861	parsaclisib 45 mg qd	e (largest Participants denominator)	3
NCT02018861	parsaclisib 20 mg + itacitinib 300 mg	e (largest Participants denominator)	3
NCT02018861	parsaclisib 30 mg + itacitinib 300 mg	e (largest Participants denominator)	3
NCT02018861	parsaclisib 15 mg qd + r-ice	e (largest Participants denominator)	3
NCT02018861	parsaclisib 20 mg qd + r-ice	e (largest Participants denominator)	3
NCT02915523	phase 2: avelumab + placebo	f (smallest outcome index)	3
NCT02915523	phase 2: avelumab + entinostat	f (smallest outcome index)	3
NCT02107703	abemaciclib + fulvestrant	f (smallest outcome index)	3
NCT02107703	placebo + fulvestrant	f (smallest outcome index)	3
NCT02755597	venetoclax + bortezomib and dexamethasone	f (smallest outcome index)	2
NCT02755597	placebo + bortezomib and dexamethasone	f (smallest outcome index)	2
NCT02448381	sgx301 (cycle 1 & 2 = sgx301)	f (smallest outcome index)	2
NCT02448381	placebo (cycle 1)	f (smallest outcome index)	2
NCT03629925	sintilimab+ gemcitabine plus platinum	f (smallest outcome index)	2
NCT03629925	placebo+gemcitabine plus platinum	f (smallest outcome index)	2
NCT03671330	premenopausal cohort - ribociclib	f (smallest outcome index)	2
NCT03671330	premenopausal cohort - placebo	f (smallest outcome index)	2
NCT03671330	postmenopausal cohort - ribociclib	f (smallest outcome index)	2
NCT03671330	postmenopausal cohort - placebo	f (smallest outcome index)	2
NCT04194775	nofazinlimab + lenvatinib	f (smallest outcome index)	2
NCT04194775	placebo + lenvatinib	f (smallest outcome index)	2
NCT03581786	placebo combine with chemotherapy	f (smallest outcome index)	2
NCT03581786	toripalimab injection(js001 )combine with chemotherapy	f (smallest outcome index)	2
NCT04607668	trilaciclib + folfoxiri/bevacizumab	f (smallest outcome index)	3
NCT04607668	placebo + folfoxiri/bevacizumab	f (smallest outcome index)	3
NCT03602859	paclitaxel + carboplatin + dostarlimab pbo +/- bev, then niraparib+dostarlimab pbo +/- bev (arm2)	f (smallest outcome index)	2
NCT03602859	paclitaxel + carboplatin + dostarlimab +/- bev, then niraparib+dostarlimab +/- bev (arm3)	f (smallest outcome index)	2
NCT04060862	phase iii: ipatasertib + palbociclib +fulvestrant	f (smallest outcome index)	3
NCT04060862	phase iii: placebo + palbociclib + fulvestrant	f (smallest outcome index)	3
NCT03522246	arm b: rucaparib + placebo	f (smallest outcome index)	2
NCT04322539	fruquintinib + bsc group	f (smallest outcome index)	2
NCT04322539	placebo + bsc group	f (smallest outcome index)	2
NCT03829969	toripalimab	f (smallest outcome index)	2
NCT03829969	placebo	f (smallest outcome index)	2
NCT04902885	part i ( safety run-in and pk evaluation); trilaciclib group	f (smallest outcome index)	2
NCT04902885	part ii ( randomized double-blind, placebo-controlled ), trilaciclib group	f (smallest outcome index)	2
NCT04902885	part ii ( randomized double-blind, placebo-controlled ), placebo group	f (smallest outcome index)	2
NCT03519971	durvalumab + soc crt	f (smallest outcome index)	2
NCT03519971	placebo + soc crt	f (smallest outcome index)	2
NCT03371017	placebo + chemotherapy	e (largest Participants denominator)	2
NCT03371017	atezolizumab + chemotherapy	e (largest Participants denominator)	2
NCT03710876	treatment group	f (smallest outcome index)	3
NCT03710876	control group	f (smallest outcome index)	3
NCT03817125	ser-401 matching placebo/ nivolumab	f (smallest outcome index)	2
NCT03817125	ser-401/ nivolumab	f (smallest outcome index)	2
NCT04005716	arm a: tislelizumab + chemotherapy	f (smallest outcome index)	2
NCT04005716	arm b: placebo + chemotherapy	f (smallest outcome index)	2
NCT02964507	phase ii-gsk525762 +ful	f (smallest outcome index)	2
